city_name,country,date,lat,lon,max_temp_C,max_temp_F,cloud_cover%,humidity%,wind_speed
Puro,PH,1613566243,12.4841,123.3827,25.58000000000004,78.04400000000007,96.0,73.0,7.94
Øksfjord,NO,1613566243,70.2396,22.3479,-4.0,24.8,0.0,80.0,4.12
Banda Aceh,ID,1613566244,5.5577,95.3222,26.53000000000003,79.75400000000005,0.0,75.0,4.9
Saýat,TM,1613566244,38.7839,63.8803,26.0,78.80000000000001,0.0,13.0,6.17
Kibre Mengist,ET,1613566244,5.8833,38.9833,31.100000000000023,87.98000000000005,88.0,18.0,3.41
Cidreira,BR,1613566245,-30.1811,-50.2056,23.900000000000034,75.02000000000007,0.0,65.0,4.92
Grootfontein,NA,1613566245,-19.5667,18.1167,28.450000000000045,83.2100000000001,1.0,27.0,3.57
Mirny,RU,1613566245,62.5353,113.9611,-26.23999999999998,-15.231999999999964,100.0,89.0,2.43
Belyy Yar,RU,1613566246,53.6039,91.3903,3.0,37.4,0.0,70.0,4.0
Kangaatsiaq,GL,1613566246,68.3065,-53.4641,-18.409999999999968,-1.1379999999999413,92.0,94.0,4.44
Ishim,RU,1613566246,56.1128,69.4902,-22.319999999999965,-8.175999999999938,100.0,89.0,3.7
Havelock,US,1613566247,34.8791,-76.9013,5.0,41.0,90.0,75.0,3.6
Colombia,CU,1613566247,20.9881,-77.4297,22.0,71.6,15.0,94.0,2.57
Quthing,LS,1613566247,-30.4,27.7003,26.670000000000016,80.00600000000003,0.0,24.0,5.9
Mitú,CO,1613566248,1.1983,-70.1733,24.260000000000048,75.66800000000009,100.0,92.0,0.98
Bairiki Village,KI,1613566248,1.3292,172.9752,27.04000000000002,80.67200000000004,32.0,82.0,8.66
Stromness,GB,1613566248,58.965,-3.296,6.0,42.8,40.0,81.0,9.26
Rocha,UY,1613566248,-34.4833,-54.3333,21.900000000000034,71.42000000000007,67.0,82.0,5.11
Malakal,SS,1613566249,9.5334,31.6605,36.76000000000005,98.16800000000009,92.0,9.0,4.03
Ocós,GT,1613566249,14.5094,-92.1933,21.0,69.80000000000001,1.0,100.0,2.72
Sassandra,CI,1613566249,4.95,-6.0833,24.460000000000036,76.02800000000008,100.0,89.0,2.5
Dhamrai,BD,1613566249,23.9202,90.2109,24.0,75.2,75.0,57.0,2.99
Karak,JO,1613566249,31.1667,35.75,7.0,44.6,75.0,45.0,12.86
Bac Giang,VN,1613566249,21.2667,106.2,19.0,66.2,82.0,77.0,2.57
Il’inskiy,RU,1613566250,55.619,38.1182,-7.21999999999997,19.004000000000055,40.0,79.0,2.0
Marabba,SD,1613566250,12.35,32.1833,30.410000000000025,86.73800000000006,40.0,14.0,8.77
Santa Rosa,PH,1613566250,14.3122,121.1114,27.0,80.6,20.0,65.0,3.09
Windhoek,NA,1613566250,-22.5594,17.0832,28.890000000000043,84.00200000000008,0.0,20.0,4.63
Leningori,GE,1613566251,42.126,44.4833,1.0,33.8,90.0,93.0,11.32
Sørland,NO,1613566251,67.667,12.6934,1.0,33.8,0.0,64.0,4.63
Troitskoye,RU,1613566251,52.9821,84.6757,-7.0,19.4,100.0,97.0,1.7
Guaymas,MX,1613565976,27.9333,-110.9,10.560000000000002,51.00800000000001,80.0,89.0,1.34
Lapua,FI,1613566252,62.9693,23.0088,-11.669999999999959,10.994000000000074,0.0,75.0,1.45
Buala,SB,1613566252,-8.145,159.5921,27.28000000000003,81.10400000000006,100.0,77.0,0.92
Kunmadaras,HU,1613566252,47.4333,20.8,3.0,37.4,90.0,56.0,2.06
Khodz',RU,1613566253,44.5102,40.7142,-6.949999999999989,19.49000000000002,100.0,96.0,3.91
Jiwani,PK,1613566253,25.05,61.7417,24.260000000000048,75.66800000000009,0.0,56.0,6.0
Ust'-Kulom,RU,1613566253,61.6864,53.6902,-26.569999999999965,-15.825999999999937,85.0,87.0,0.89
Staraya Kulatka,RU,1613566254,52.7167,47.6167,-19.319999999999965,-2.7759999999999394,0.0,90.0,1.9
Waipawa,NZ,1613566254,-41.4122,175.5153,12.0,53.6,0.0,71.0,1.03
Alanya,TR,1613566005,36.5438,31.9998,9.0,48.2,20.0,27.0,11.32
Kemijärvi,FI,1613566254,66.7131,27.4306,-17.379999999999967,0.7160000000000579,0.0,90.0,2.87
Dobryanka,RU,1613566255,58.4619,56.4165,-16.0,3.1999999999999993,0.0,66.0,4.0
Manta,EC,1613565979,-0.95,-80.7333,25.0,77.0,90.0,83.0,1.54
Ovalle,CL,1613565977,-30.5983,-71.2003,19.230000000000018,66.61400000000003,0.0,57.0,0.87
Mbandaka,CD,1613566256,0.0487,18.2603,31.560000000000002,88.808,99.0,44.0,2.72
Kruisfontein,ZA,1613566035,-34.0033,24.7314,31.110000000000014,87.99800000000002,0.0,45.0,3.13
Rocky Mountain House,CA,1613566256,52.3668,-114.9188,-19.99999999999997,-3.9999999999999503,17.0,84.0,1.03
Sterling,US,1613566257,39.0062,-77.4286,-4.0,24.8,75.0,54.0,5.66
Serowe,BW,1613566257,-22.3833,26.7167,28.460000000000036,83.22800000000007,1.0,41.0,2.39
Adrar,MR,1613566257,20.5022,-10.0711,27.400000000000034,81.32000000000006,100.0,15.0,3.19
Luau,AO,1613566258,-10.7073,22.2247,27.360000000000014,81.24800000000002,100.0,58.0,1.6
Tura,IN,1613566258,25.5198,90.2201,20.03000000000003,68.05400000000006,99.0,38.0,0.87
