city_name,country,date,lat,lon,max_temp_C,cloud_cover%,humidity%,wind_speed
Bismarck,US,1609884233,46.8083,-100.7837,4.0,90.0,60.0,3.6
Nizhniy Mamon,RU,1609884318,50.1937,40.5083,-4.479999999999961,100.0,95.0,5.55
Alveringem,BE,1609884319,50.9793,2.6775,3.330000000000041,100.0,93.0,4.6
Kuopio,FI,1609884024,62.8924,27.677,-11.0,75.0,85.0,1.5
Auki,SB,1609884319,-8.7676,160.7034,28.99000000000001,99.0,62.0,1.48
Omsukchan,RU,1609884320,62.5333,155.8,-34.889999999999986,99.0,81.0,1.72
Acapulco de Juárez,MX,1609884211,16.8634,-99.8901,29.0,20.0,74.0,4.6
Verkhnevilyuysk,RU,1609884320,63.4453,120.3167,-32.819999999999965,100.0,84.0,2.54
Chiang Klang,TH,1609884320,19.2938,100.8617,18.560000000000002,46.0,77.0,0.46
Saint-Pierre,RE,1609884321,-21.3393,55.4781,25.0,90.0,73.0,2.6
Mount Isa,AU,1609884321,-20.7333,139.5,27.0,90.0,32.0,5.7
Gamba,GA,1609884322,-2.65,10.0,25.57000000000005,99.0,90.0,3.97
Zhigansk,RU,1609884038,66.7697,123.3711,-39.52999999999997,100.0,80.0,4.93
Evensk,RU,1609884322,61.95,159.2333,-25.079999999999984,8.0,78.0,3.56
Nanortalik,GL,1609884195,60.1432,-45.2371,-3.3100000000000023,0.0,90.0,2.69
Bela Vista,BR,1609884323,-22.1089,-56.5211,26.930000000000007,65.0,79.0,1.57
Sumbe,AO,1609884323,-11.2061,13.8437,24.29000000000002,0.0,85.0,3.7
Barão de Melgaço,BR,1609884323,-16.1944,-55.9675,31.0,40.0,52.0,3.6
Port Macquarie,AU,1609884324,-31.4333,152.9167,25.560000000000002,4.0,71.0,0.45
Kruisfontein,ZA,1609884324,-34.0033,24.7314,20.560000000000002,57.0,86.0,2.11
Kimberley,ZA,1609884324,-28.7323,24.7623,18.0,44.0,93.0,6.7
Inhambane,MZ,1609884324,-23.865,35.3833,25.75,42.0,82.0,3.44
Mezen',RU,1609884324,65.8522,44.24,-14.949999999999989,84.0,95.0,2.12
Sławno,PL,1609884325,54.3628,16.6789,3.5300000000000296,100.0,95.0,5.96
Bayan,CN,1609884325,46.0833,127.4,-24.269999999999982,100.0,90.0,1.32
Arkhangelsk,RU,1609884149,64.5401,40.5433,-8.0,90.0,92.0,1.0
Lompoc,US,1609884325,34.6391,-120.4579,20.0,1.0,48.0,4.6
Fare,PF,1609884325,-16.7,-151.0167,27.470000000000027,64.0,71.0,4.8
Batagay,RU,1609884325,67.6333,134.6333,-38.39999999999998,1.0,79.0,1.7
Vila Franca do Campo,PT,1609884326,37.7167,-25.4333,13.0,75.0,82.0,8.7
Comodoro Rivadavia,AR,1609884326,-45.8667,-67.5,23.0,0.0,40.0,11.8
Kapit,MY,1609884326,2.0167,112.9333,21.980000000000018,79.0,95.0,0.37
Lüderitz,NA,1609884326,-26.6481,15.1594,20.0,61.0,82.0,6.2
Juneau,US,1609884062,58.3019,-134.4197,5.0,90.0,65.0,6.7
Dunedin,NZ,1609884327,-45.8742,170.5036,16.220000000000027,0.0,75.0,5.22
Sabang,ID,1609884327,5.8933,95.3214,27.75,86.0,79.0,8.76
Maumere,ID,1609884328,-8.6199,122.2111,26.439999999999998,100.0,80.0,1.55
Vanavara,RU,1609884329,60.34,102.2797,-24.559999999999974,100.0,89.0,2.23
Viedma,AR,1609884330,-40.8135,-62.9967,22.220000000000027,59.0,58.0,6.55
Bundaberg,AU,1609884330,-24.85,152.35,29.439999999999998,69.0,88.0,2.1
Napier City,NZ,1609884330,-39.4833,176.9167,21.160000000000025,100.0,54.0,1.3
Piaçabuçu,BR,1609884331,-10.4056,-36.4344,25.32000000000005,0.0,78.0,3.77
Marystown,CA,1609884331,47.1666,-55.1483,2.930000000000007,100.0,88.0,7.47
Port Hardy,CA,1609884331,50.6996,-127.4199,5.0,90.0,93.0,14.4
Taltal,CL,1609884332,-25.4,-70.4833,20.75,19.0,65.0,3.23
Portsmouth,GB,1609884222,50.799,-1.0913,4.439999999999998,100.0,86.0,0.45
Atar,MR,1609884332,20.5169,-13.0499,21.620000000000005,100.0,37.0,0.92
Uetersen,DE,1609884333,53.6833,9.6667,3.330000000000041,100.0,86.0,5.1
Paita,PE,1609884333,-5.0892,-81.1144,22.02000000000004,5.0,74.0,6.5
Khatanga,RU,1609884333,71.9667,102.5,-18.21999999999997,100.0,93.0,9.78
Srednekolymsk,RU,1609884333,67.45,153.6833,-31.42999999999998,89.0,86.0,5.34
Pozo Colorado,PY,1609884288,-23.4923,-58.7972,30.24000000000001,21.0,57.0,2.85
Sørland,NO,1609884335,67.667,12.6934,6.560000000000002,100.0,88.0,8.33
Guerrero Negro,MX,1609884336,27.9769,-114.0611,21.010000000000048,84.0,42.0,4.38
Aasiaat,GL,1609884336,68.7098,-52.8699,-12.899999999999977,100.0,90.0,4.48
Kumul,CN,1609884336,42.8,93.45,-13.42999999999995,14.0,67.0,1.29
Hernani,ES,1609884336,43.2662,-1.9762,3.890000000000043,90.0,74.0,1.5
Kirakira,SB,1609884337,-10.4544,161.9205,29.640000000000043,75.0,62.0,2.54
Calabozo,VE,1609884337,8.9242,-67.4293,30.78000000000003,54.0,37.0,1.85
Río Tercero,AR,1609884337,-32.173,-64.1141,22.220000000000027,10.0,63.0,3.58
Ugoofaaru,MV,1609884338,5.6667,73.0,27.810000000000002,100.0,77.0,6.58
Verkhnedneprovskiy,RU,1609884338,54.9813,33.3457,-2.7399999999999523,100.0,98.0,3.3
Jijiga,ET,1609884338,9.35,42.8,14.07000000000005,0.0,58.0,4.34
Safaga,EG,1609884338,26.7292,33.9365,18.0,0.0,52.0,6.2
Aquiraz,BR,1609884271,-3.9014,-38.3911,27.0,0.0,78.0,3.1
Nabire,ID,1609884339,-3.3667,135.4833,25.27000000000004,100.0,86.0,1.28
Shubarkuduk,KZ,1609884339,49.1447,56.4872,-16.579999999999984,48.0,83.0,3.04
Westport,US,1609884340,41.1415,-73.3579,5.0,90.0,60.0,4.1
Basco,PH,1609884340,20.4487,121.9702,23.28000000000003,100.0,82.0,12.05
Karatuzskoye,RU,1609884340,53.6072,92.8667,-31.45999999999998,17.0,83.0,0.94
Saint-Joseph,RE,1609884341,-21.3667,55.6167,25.0,90.0,73.0,2.6
Nara,JP,1609884341,34.6851,135.8049,5.0,75.0,75.0,1.5
Mareeba,AU,1609884341,-17.0,145.4333,26.670000000000016,100.0,93.0,2.68
Santa Catarina de Tepehuanes,MX,1609884342,25.35,-105.7333,20.110000000000014,100.0,21.0,5.93
Kavaratti,IN,1609884342,10.5669,72.642,27.840000000000032,99.0,75.0,3.15
Mpigi,UG,1609884342,0.225,32.3136,23.0,20.0,83.0,4.1
